"";"ANIMAL_ID";"ppert";"Start";"value.start";"End";"value.end";"days_of_pert";"Min.Day";"Min.perc"
"143";72;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"144";72;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"145";73;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"146";73;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"147";74;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"148";74;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"149";75;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"150";75;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"151";76;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"152";76;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"153";77;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"154";77;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"155";78;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"156";78;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"157";79;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"158";79;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"159";80;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"160";80;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"161";81;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"162";81;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"163";82;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
"164";82;"P2";117,1;-0,0179008750703188;184;-9,09159720049423;66,9;156,9;-12,8145684960833
"165";83;"P1";69,1;-1,86671806334909;97,8;0,00537654606904445;28,7;71,3;-26,7077745596658
